arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
PPC,PPC_0005,FUN_100b74ac,0x100b74ac,360,True,5,True,505,undefined4 * FUN_100b74ac(undefined4 *param_1)
PPC,PPC_0003,FUN_10074c58,0x10074c58,372,True,7,False,507,"int * FUN_10074c58(undefined4 param_1,uint param_2,int *param_3)"
PPC,PPC_0004,FUN_100aa9f4,0x100aa9f4,392,True,3,False,507,"undefined4 FUN_100aa9f4(int param_1,undefined2 *param_2,undefined2 *param_3)"
PPC,PPC_0008,FUN_100f82f4,0x100f82f4,468,False,8,False,508,"void FUN_100f82f4(int *param_1,undefined4 param_2,undefined4 param_3,undefined1 "
PPC,PPC_0005,FUN_100b4ffc,0x100b4ffc,364,True,9,False,509,int * FUN_100b4ffc(int *param_1)
PPC,PPC_0001,FUN_10018180,0x10018180,384,True,5,False,509,"uint FUN_10018180(short param_1,short param_2,short param_3)"
PPC,PPC_0002,FUN_10042a24,0x10042a24,400,True,2,False,510,"int FUN_10042a24(short param_1,short param_2)"
PPC,PPC_0001,FUN_1002656c,0x1002656c,376,True,7,False,511,void FUN_1002656c(void)
PPC,PPC_0001,FUN_10019f14,0x10019f14,396,True,3,False,511,"bool FUN_10019f14(short param_1,short *param_2,short *param_3)"
PPC,PPC_0001,FUN_1000b278,0x1000b278,352,True,8,True,512,"void FUN_1000b278(short param_1,short param_2)"
PPC,PPC_0001,FUN_10021848,0x10021848,352,True,8,True,512,void FUN_10021848(void)
PPC,PPC_0009,FUN_1010df04,0x1010df04,372,True,8,False,512,"int * FUN_1010df04(int *param_1,short param_2,undefined1 param_3,undefined1 para"
PPC,PPC_0001,FUN_1000c844,0x1000c844,388,True,1,True,513,void FUN_1000c844(void)
PPC,PPC_0001,FUN_1002ce38,0x1002ce38,388,True,5,False,513,void FUN_1002ce38(void)
PPC,PPC_0002,FUN_1004615c,0x1004615c,364,True,6,True,514,"void FUN_1004615c(short param_1,undefined4 param_2,undefined4 param_3,undefined4"
PPC,PPC_0006,FUN_100d1144,0x100d1144,384,True,6,False,514,int FUN_100d1144(int param_1)
PPC,PPC_0007,FUN_100e3688,0x100e3688,404,True,2,False,514,"void FUN_100e3688(int param_1,undefined4 param_2,int *param_3)"
PPC,PPC_0001,FUN_1001eaa4,0x1001eaa4,380,True,7,False,515,void FUN_1001eaa4(short param_1)
PPC,PPC_0001,FUN_10026df4,0x10026df4,380,True,7,False,515,void FUN_10026df4(void)
PPC,PPC_0007,FUN_100df6b4,0x100df6b4,380,True,7,False,515,"void FUN_100df6b4(int param_1,byte *param_2)"
PPC,PPC_0002,FUN_1005adc4,0x1005adc4,352,True,9,True,517,undefined1 * FUN_1005adc4(short param_1)
PPC,PPC_0002,FUN_1005d0cc,0x1005d0cc,372,True,5,True,517,void FUN_1005d0cc(short param_1)
PPC,PPC_0001,FUN_10007c50,0x10007c50,388,True,2,True,518,void FUN_10007c50(void)
PPC,PPC_0009,FUN_1010d7a0,0x1010d7a0,448,False,10,True,518,void FUN_1010d7a0(int *param_1)
PPC,PPC_0002,FUN_1005f50c,0x1005f50c,364,True,7,True,519,"int FUN_1005f50c(short param_1,short param_2,short param_3)"
PPC,PPC_0006,FUN_100cea9c,0x100cea9c,380,True,8,False,520,"void FUN_100cea9c(int *param_1,int *param_2)"
PPC,PPC_0003,FUN_10075304,0x10075304,392,True,6,False,522,void FUN_10075304(void)
PPC,PPC_0009,FUN_101104b8,0x101104b8,508,False,3,False,523,"void FUN_101104b8(int param_1,int *param_2)"
PPC,PPC_0006,FUN_100ce568,0x100ce568,384,True,8,False,524,void FUN_100ce568(byte *param_1)
PPC,PPC_0004,FUN_1009c850,0x1009c850,444,False,16,False,524,"void FUN_1009c850(int *param_1,char param_2)"
PPC,PPC_0007,FUN_100e83cc,0x100e83cc,484,False,8,False,524,"int * FUN_100e83cc(int *param_1,char param_2,undefined4 param_3,undefined4 param"
PPC,PPC_0002,FUN_1004d404,0x1004d404,400,True,5,False,525,void FUN_1004d404(ushort param_1)
PPC,PPC_0003,FUN_10073a08,0x10073a08,460,False,13,False,525,void FUN_10073a08(int *param_1)
PPC,PPC_0002,FUN_1003c938,0x1003c938,396,True,6,False,526,void FUN_1003c938(int param_1)
PPC,PPC_0001,FUN_10027448,0x10027448,416,True,2,False,526,void FUN_10027448(void)
PPC,PPC_0003,FUN_1007b8a4,0x1007b8a4,408,True,4,False,528,void FUN_1007b8a4(int param_1)
PPC,PPC_0003,FUN_10082f24,0x10082f24,408,True,4,False,528,"void FUN_10082f24(int *param_1,short param_2,short param_3)"
PPC,PPC_0003,FUN_100735ec,0x100735ec,404,True,5,False,529,"void FUN_100735ec(int param_1,uint param_2)"
PPC,PPC_0007,FUN_100dddb0,0x100dddb0,504,False,5,False,529,"void FUN_100dddb0(int *param_1,int *param_2,int *param_3,int *param_4)"
PPC,PPC_0001,FUN_100341ec,0x100341ec,392,True,8,False,532,void FUN_100341ec(int *param_1)
PPC,PPC_0006,FUN_100d4614,0x100d4614,392,True,8,False,532,"void FUN_100d4614(int *param_1,int *param_2)"
PPC,PPC_0002,FUN_10067dc8,0x10067dc8,452,False,12,True,532,"void FUN_10067dc8(undefined4 param_1,int *param_2,undefined4 param_3)"
PPC,PPC_0002,FUN_10068228,0x10068228,452,False,12,True,532,"void FUN_10068228(undefined4 param_1,int *param_2,undefined4 param_3)"
PPC,PPC_0002,FUN_10047abc,0x10047abc,512,False,4,False,532,"void FUN_10047abc(short *param_1,short param_2,short param_3)"
PPC,PPC_0001,FUN_1001b8e0,0x1001b8e0,384,True,6,True,534,void FUN_1001b8e0(short param_1)
PPC,PPC_0003,FUN_10070cec,0x10070cec,524,False,2,False,534,"void FUN_10070cec(int *param_1,char param_2,undefined4 param_3,undefined4 param_"
PPC,PPC_0003,FUN_1007149c,0x1007149c,524,False,2,False,534,"void FUN_1007149c(int *param_1,char param_2,undefined4 param_3,undefined4 param_"
PPC,PPC_0001,FUN_10011590,0x10011590,420,True,3,False,535,void FUN_10011590(void)
PPC,PPC_0001,FUN_10014214,0x10014214,420,True,3,False,535,void FUN_10014214(void)
PPC,PPC_0004,FUN_1009c544,0x1009c544,392,True,9,False,537,undefined4 FUN_1009c544(int param_1)
PPC,PPC_0005,FUN_100b8360,0x100b8360,512,False,5,False,537,"bool FUN_100b8360(int *param_1,undefined4 param_2,int *param_3)"
PPC,PPC_0007,FUN_100e1fac,0x100e1fac,368,True,10,True,538,void FUN_100e1fac(void)
